,,,,,
,"INSTRUCTION SET SUMMARY",,,,
,,,,,
,,,,,
,"MOV = Move:",,,,
,"Register to Register/Memory","1000100w","mod reg r/m",,
,"Register/memory to register","1000101w","mod reg r/m",,
,"Immediate to register/memory","1100011w","mod 000 r/m","data"," data if w = 1"
,"Immediate to register"," 1011 w reg","data"," data if w = 1",
,"Memory to accumulator"," 1010000w","addr-low"," addr-high",
,"Accumulator to memory"," 1010001w","addr-low"," addr-high",
,"Register/memory to segment register","10001110","mod 0 reg r/m",,
,"Segment register to register/memory","10001100","mod 0 reg r/m",,
,,,,,
,"PUSH = Push:",,,,
,"Memory","11111111","Mod 110 r/m",,
,"Register","01010 reg",,,
,"Segment register","000 reg 110",,,
,"Immediate","011010s0"," data","data if s = 0",
,,,,,
,"PUSHA = Push All","01100000",,,
,,,,,
,"POP = Pop:",,,,
,"Memory","10001111","mod 000 r/m",,
,"Register","01011 reg",,,
,"Segment register","000 reg 111"," (reg != 01)",,
,,,,,
,"POPA = Pop All","01100001",,,
,,,,,
,"XCHG = Exchange:",,,,
,"Register/memory with register","1000011w","mod reg r/m",,
,"Register with accumulator","10010 reg",,,
,,,,,
,"IN = Input from:",,,,
,"Fixed port","1110010w"," port",,
,"Variable port","1110110w",,,
,,,,,
,"OUT = Output to:",,,,
,"Fixed port","1110011w"," port",,
,"Variable port","1110111w",,,
,,,,,
,"XLAT = Translate byte to AL","11010111",,,
,,,,,
,"LEA = Load EA to register","10001101","mod reg r/m",,
,,,,,
,"LDS = Load pointer to DS","11000101","mod reg r/m","(mod != 11)",
,,,,,
,"LES = Load pointer to ES","11000100","mod reg r/m","(mod != 11)",
,,,,,
,"LAHF = Load AH with flags","10011111",,,
,,,,,
,"SAHF = Store AH into flags","10011110",,,
,,,,,
,"PUSHF = Push flags","10011100",,,
,,,,,
,"POPF = Pop flags","10011101",,,
,,,,,
,"SEGMENT = Segment Override:",,,,
,"CS","00101110",,,
,"SS","00110110",,,
,"DS","00111110",,,
,"ES","00100110",,,
,,,,,
,"ADD = Add:",,,,
,"Reg/memory with register to either","000000dw"," mod reg r/m",,
,"Immediate to register/memory","100000sw"," mod 000 r/m","data","data if s w = 01"
,"Immediate to accumulator","0000010w","data","data if w = 1",
,,,,,
,"ADC = Add with carry:",,,,
,"Reg/memory with register to either","000100dw"," mod reg r/m",,
,"Immediate to register/memory","100000sw"," mod 010 r/m","data","data if s w = 01"
,"Immediate to accumulator","0001010w","data","data if w = 1",
,,,,,
,"INC = Increment:",,,,
,"Register/memory","1111111w"," mod 000 r/m",,
,"Register"," 01000 reg",,,
,,,,,
,"SUB = Subtract:",,,,
,"Reg/memory and register to either","001010dw"," mod reg r/m",,
,"Immediate from register/memory","100000sw"," mod 101 r/m","data","data if s w = 01"
,"Immediate from accumulator","0010110w","data","data if w = 1",
,,,,,
,"SBB = Subtract with borrow:",,,,
,"Reg/memory and register to either","000110dw"," mod reg r/m",,
,"Immediate from register/memory","100000sw"," mod 011 r/m","data","data if s w = 01"
,"Immediate from accumulator","0001110w","data","data if w = 1",
,,,,,
,"DEC = Decrement",,,,
,"Register/memory","1111111w"," mod 001 r/m",,
,"Register"," 01001 reg",,,
,,,,,
,"CMP = Compare:",,,,
,"Register/memory with register","0011101w"," mod reg r/m",,
,"Register with register/memory","0011100w"," mod reg r/m",,
,"Immediate with register/memory","100000sw"," mod 111 r/m","data","data if s w = 01"
,"Immediate with accumulator","0011110w","data","data if w = 1",
,,,,,
,"NEG = Change sign register/memory","1111011w"," mod 011 r/m",,
,,,,,
,"AAA = ASCII adjust for add","00110111",,,
,,,,,
,"DAA = Decimal adjust for add","00100111",,,
,,,,,
,"AAS = ASCII adjust for subtract","00111111",,,
,,,,,
,"DAS = Decimal adjust for subtract","00101111",,,
,,,,,
,"MUL = Multiply (unsigned):","1111011w"," mod 100 r/m",,
,"Register-Byte",,,,
,"Register-Word",,,,
,"Memory-Byte",,,,
,"Memory-Word",,,,
,,,,,
,"IMUL = Integer multiply (signed):","1111011w","mod 101 r/m",,
,"Register-Byte",,,,
,"Register-Word",,,,
,"Memory-Byte",,,,
,"Memory-Word",,,,
,,,,,
,"IMUL = Integer Immediate multiply (signed)","011010s1"," mod reg r/m","data","data if s = 0"
,,,,,
,"DIV = Divide (unsigned):","1111011w","mod 110 r/m",,
,"Register-Byte",,,,
,"Register-Word",,,,
,"Memory-Byte",,,,
,"Memory-Word",,,,
,,,,,
,"IDIV = Integer divide (signed):","1111011w","mod 111 r/m",,
,"Register-Byte",,,,
,"Register-Word",,,,
,"Memory-Byte",,,,
,"Memory-Word",,,,
,,,,,
,"AAM = ASCII adjust for multiply","11010100","00001010",,
,,,,,
,"AAD = ASCII adjust for divide","11010101","00001010",,
,,,,,
,"CBW = Convert byte to word","10011000",,,
,,,,,
,"CWD = Convert word to double word","10011001",,,
,,,,,
,"Shift/Rotate Instructions:",,,,
,"Register/Memory by 1","1101000w"," mod TTT r/m",,
,"Register/Memory by CL","1101001w"," mod TTT r/m",,
,"Register/Memory by Count","1100000w"," mod TTT r/m","count",
,,,,,
,,,"TTT ","Instruction",
,,,"0 0 0","ROL",
,,,"0 0 1","ROR",
,,,"0 1 0","RCL",
,,,"0 1 1","RCR",
,,,"1 0 0","SHL/SAL",
,,,"1 0 1","SHR",
,,,"1 1 1","SAR",
,,,,,
,"AND = And:",,,,
,"Reg/memory and register to either","001000dw","mod reg r/m",,
,"Immediate to register/memory","1000000w","mod 100 r/m"," data","data if w = 1"
,"Immediate to accumulator","0010010w","data","data if w = 1",
,,,,,
,"TEST = And function to flags, no result:",,,,
,"Register/memory and register","1000010w","mod reg r/m",,
,"Immediate data and register/memory","1111011w","mod 000 r/m"," data","data if w = 1"
,"Immediate data and accumulator","1010100w","data","data if w = 1",
,,,,,
,"OR = Or:",,,,
,"Reg/memory and register to either","000010dw","mod reg r/m",,
,"Immediate to register/memory","1000000w","mod 001 r/m"," data","data if w = 1"
,"Immediate to accumulator","0000110w","data","data if w = 1",
,,,,,
,"XOR = Exclusive or:",,,,
,"Reg/memory and register to either","001100dw","mod reg r/m",,
,"Immediate to register/memory","1000000w","mod 110 r/m"," data","data if w = 1"
,"Immediate to accumulator","0011010w","data"," data if w = 1",
,,,,,
,"NOT = Invert register/memory","1111011w","mod 010 r/m",,
,,,,,
,"STRING MANIPULATION",,,,
,"MOVS = Move byte/word","1010010w",,,
,"CMPS = Compare byte/word","1010011w",,,
,"SCAS = Scan byte/word","1010111w",,,
,"LODS = Load byte/wd to AL/AX","1010110w",,,
,"STOS = Store byte/wd from AL/AX","1010101w",,,
,"INS = Input byte/wd from DX port","0110110w",,,
,"OUTS = Output byte/wd to DX port","0110111w",,,
,,,,,
,"Repeated by count in CX (REP/REPE/REPZ/REPNE/REPNZ)",,,,
,"MOVS = Move string","11110010","1010010w",,
,"CMPS = Compare string","1111001z","1010011w",,
,"SCAS = Scan string","1111001z","1010111w",,
,"LODS = Load string","11110010","1010110w",,
,"STOS = Store string","11110010","1010101w",,
,"INS = Input string","11110010","0110110w",,
,"OUTS = Output string","11110010","0110111w",,
,,,,,
,"CALL = Call:",,,,
,"Direct within segment","11101000","disp-low","disp-high",
,"Register/memory indirect within segment","11111111","mod 010 r/m",,
,"Direct intersegment","10011010","segment offset","segment selector",
,"Indirect intersegment","11111111","mod 011 r/m","(mod != 11)",
,,,,,
,"JMP = Unconditional jump:",,,,
,"Short/long","11101011","disp-low",,
,"Direct within segment","11101001","disp-low","disp-high",
,"Register/memory indirect within segment","11111111","mod 100 r/m",,
,"Direct intersegment","11101010","segment offset","segment selector",
,"Indirect intersegment","11111111","mod 101 r/m","(mod != 11)",
,,,,,
,"RET = Return from CALL:",,,,
,"Within segment","11000011",,,
,"Within seg adding immed to SP","11000010"," data-low"," data-high",
,"Intersegment","11001011",,,
,"Intersegment adding immediate to SP","11001010"," data-low"," data-high",
,,,,,
,"JE/JZ = Jump on equal/zero","01110100","disp",,
,,,,,
,"JL/JNGE = Jump on less/not greater or equal","01111100","disp",,
,,,,,
,"JLE/JNG = Jump on less or equal/not greater","01111110","disp",,
,,,,,
,"JB/JNAE = Jump on below/not above or equal","01110010","disp",,
,,,,,
,"JBE/JNA = Jump on below or equal/not above","01110110","disp",,
,,,,,
,"JP/JPE = Jump on parity/parity even","01111010","disp",,
,,,,,
,"JO = Jump on overflow","01110000","disp",,
,,,,,
,"JS = Jump on sign","01111000","disp",,
,,,,,
,"JNE/JNZ = Jump on not equal/not zero","01110101","disp",,
,,,,,
,"JNL/JGE = Jump on not less/greater or equal","01111101","disp",,
,,,,,
,"JNLE/JG = Jump on not less or equal/greater","01111111","disp",,
,,,,,
,"JNB/JAE = Jump on not below/above or equal","01110011","disp",,
,,,,,
,"JNBE/JA = Jump on not below or equal/above","01110111","disp",,
,,,,,
,"JNP/JPO = Jump on not par/par odd","01111011","disp",,
,,,,,
,"JNO = Jump on not overflow","01110001","disp",,
,,,,,
,"JNS = Jump on not sign","01111001","disp",,
,,,,,
,"JCXZ = Jump on CX zero","11100011","disp",,
,,,,,
,"LOOP = Loop CX times","11100010","disp",,
,,,,,
,"LOOPZ/LOOPE = Loop while zero/equal","11100001","disp",,
,,,,,
,"LOOPNZ/LOOPNE = Loop while not zero/equal","11100000","disp",,
,,,,,
,"ENTER = Enter Procedure","11001000"," data-low"," data-high","L"
,"L = 0",,,,
,"L = 1",,,,
,"L > 1",,,,
,,,,,
,"LEAVE = Leave Procedure","11001001",,,
,,,,,
,"INT = Interrupt:",,,,
,"Type specified","11001101","type",,
,"Type 3","11001100",,,
,,,,,
,"INTO = Interrupt on overflow","11001110",,,
,,,,,
,"IRET = Interrupt return","11001111",,,
,,,,,
,"BOUND = Detect value out of range","01100010","mod reg r/m",,
,,,,,
,"PROCESSOR CONTROL",,,,
,"CLC = Clear carry","11111000",,,
,"CMC = Complement carry","11110101",,,
,"STC = Set carry","11111001",,,
,"CLD = Clear direction","11111100",,,
,"STD = Set direction","11111101",,,
,"CLI = Clear interrupt","11111010",,,
,"STI = Set interrupt","11111011",,,
,"HLT = Halt","11110100",,,
,"WAIT = Wait","10011011",,,
,"LOCK = Bus lock prefix","11110000",,,
,"NOP = No Operation","10010000",,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,"",,,,
