"Op","Mnemonic","Opcode","Size","Latency","C","P","A","Z","S","T","I","D","O"
"AAA","aaa AX ",37,1,2,"M",,"M",,,,,,
"AAD","aad AX,immediate8 "," d5 Ib ",2,5,,"M",,"M","M",,,,
"AAM","aam immediate8 (ex: 0x1) "," d4 Ib ",2,18,,"M",,"M","M",,,,
"AAS","aas AX "," 3f ",1,2,"M",,"M",,,,,,
"ADC","adc register8,register8 "," 10 /r "," 2-4 ",2,"M","M","M","M","M",,,,"M"
"ADC","adc memory8,register8 "," 10 /r "," 2-4 ",8,"M","M","M","M","M",,,,"M"
"ADC","adc register16,register16 "," 11 /r "," 2-4 ",2,"M","M","M","M","M",,,,"M"
"ADC","adc memory16,register16 "," 11 /r "," 2-4 ",8,"M","M","M","M","M",,,,"M"
"ADC","adc register8,register8 "," 12 /r "," 2-4 ",2,"M","M","M","M","M",,,,"M"
"ADC","adc register8,memory8 ","12 /r"," 2-4 ",5,"M","M","M","M","M",,,,"M"
"ADC","adc register16,register16  ","13 /r "," 2-4 ",2,"M","M","M","M","M",,,,"M"
"ADC","adc register16,memory16  ","13 /r "," 2-4 ",5,"M","M","M","M","M",,,,"M"
"ADC","adc AL,immediate8 "," 14 Ib ",2,2,"M","M","M","M","M",,,,"M"
"ADC","adc AX,immediate16 "," 15 Iw ",3,2,"M","M","M","M","M",,,,"M"
"ADC","adc register8,immediate8 "," 80 /2 Ib "," 3-5 ",3,"M","M","M","M","M",,,,"M"
"ADC","adc memory8,immediate8 "," 80 /2 Ib "," 3-5 ",9,"M","M","M","M","M",,,,"M"
"ADC","adc register16,immediate16 "," 81 /2 Iw "," 4-6 ",3,"M","M","M","M","M",,,,"M"
"ADC","adc memory16,immediate16 ","81 /2 Iw "," 4-6 ",9,"M","M","M","M","M",,,,"M"
"ADC","adc register8,immediate8 ","82 /2 Ib"," 3-5 ",3,"M","M","M","M","M",,,,"M"
"ADC","adc memory8,immediate8 ","82 /2 Ib"," 3-5 ",9,"M","M","M","M","M",,,,"M"
"ADC","adc register16,immediate8 ","83 /2 Ib "," 3-5 ",4,"M","M","M","M","M",,,,"M"
"ADC","adc memory16,immediate8 ","83 /2 Ib "," 3-5 ",11,"M","M","M","M","M",,,,"M"
"ADD","add register8,register8 "," 00 /r "," 2-4 ",2,"M","M","M","M","M",,,,"M"
"ADD","add memory8,register8 "," 00 /r "," 2-4 ",8,"M","M","M","M","M",,,,"M"
"ADD","add register16,register16 "," 01 /r "," 2-4 ",2,"M","M","M","M","M",,,,"M"
"ADD","add memory16,register16 "," 01 /r "," 2-4 ",8,"M","M","M","M","M",,,,"M"
"ADD","add register8,register8 "," 02 /r "," 2-4 ",2,"M","M","M","M","M",,,,"M"
"ADD","add register8,memory8 ","02 /r "," 2-4 ",5,"M","M","M","M","M",,,,"M"
"ADD","add register16,register16 ","03 /r "," 2-4 ",2,"M","M","M","M","M",,,,"M"
"ADD","add register16,memory16 ","03 /r "," 2-4 ",5,"M","M","M","M","M",,,,"M"
"ADD","add AL,immediate8 "," 04 Ib ",2,2,"M","M","M","M","M",,,,"M"
"ADD","add AX,immediate16 "," 05 Iw ",3,2,"M","M","M","M","M",,,,"M"
"ADD","add register8,immediate8 "," 80 /0 Ib "," 3-5 ",3,"M","M","M","M","M",,,,"M"
"ADD","add memory8,immediate8 "," 80 /0 Ib "," 3-5 ",9,"M","M","M","M","M",,,,"M"
"ADD","add register16,immediate16 "," 81 /0 Iw "," 4-6 ",3,"M","M","M","M","M",,,,"M"
"ADD","add memory16,immediate16 ","81 /0 Iw "," 4-6 ",9,"M","M","M","M","M",,,,"M"
"ADD","add register8,immediate8 ","82 /0 Ib"," 3-5 ",3,"M","M","M","M","M",,,,"M"
"ADD","add memory8,immediate8 ","82 /0 Ib "," 3-5 ",9,"M","M","M","M","M",,,,"M"
"ADD","add register16,immediate8 ","83 /0 Ib"," 3-5 ",4,"M","M","M","M","M",,,,"M"
"ADD","add memory16,immediate8 "," 83 /0 Ib "," 3-5 ",11,"M","M","M","M","M",,,,"M"
"AND","and register8,register8 "," 20 /r "," 2-4 ",2,"M","M",,"M","M",,,,"M"
"AND","and memory8,register8 "," 20 /r "," 2-4 ",8,"M","M",,"M","M",,,,"M"
"AND","and register16,register16 "," 21 /r "," 2-4 ",2,"M","M",,"M","M",,,,"M"
"AND","and memory16,register16 "," 21 /r "," 2-4 ",8,"M","M",,"M","M",,,,"M"
"AND","and register8,register8 "," 22 /r "," 2-4 ",2,"M","M",,"M","M",,,,"M"
"AND","and register8,memory8 ","22 /r "," 2-4 ",5,"M","M",,"M","M",,,,"M"
"AND","and register16,register16 ","23 /r "," 2-4 ",2,"M","M",,"M","M",,,,"M"
"AND","and register16,memory16 ","23 /r "," 2-4 ",5,"M","M",,"M","M",,,,"M"
"AND","and AL,immediate8 "," 24 Ib ",2,2,"M","M",,"M","M",,,,"M"
"AND","and AX,immediate16 "," 25 Iw ",3,2,"M","M",,"M","M",,,,"M"
"AND","and register8,immediate8 "," 80 /4 Ib "," 3-5 ",3,"M","M",,"M","M",,,,"M"
"AND","and memory8,immediate8 "," 80 /4 Ib "," 3-5 ",9,"M","M",,"M","M",,,,"M"
"AND","and register16,immediate16 "," 81 /4 Iw "," 4-6 ",3,"M","M",,"M","M",,,,"M"
"AND","and memory16,immediate16  ","81 /4 Iw "," 4-6 ",9,"M","M",,"M","M",,,,"M"
"AND","and register8,immediate8 ","82 /4 Ib "," 3-5 ",3,"M","M",,"M","M",,,,"M"
"AND","and memory8,immediate8 ","82 /4 Ib "," 3-5 ",9,"M","M",,"M","M",,,,"M"
"AND","and register16,immediate8 ","83 /4 Ib"," 3-5 ",4,"M","M",,"M","M",,,,"M"
"AND","and memory16,immediate8 "," 83 /4 Ib "," 3-5 ",11,"M","M",,"M","M",,,,"M"
"BOUND","bound memory(seg:offset) ",62,2,41,,,,,,,,,
"CALL","call immediate16 "," e8 Iw ",3,6,,,,,,,,,
"CALL","call displacement(seg:offset) "," 9a ",5,12,,,,,,,,,
"CALL","call register16 "," ff /2 "," 2-4 ",8,,,,,,,,,
"CALL","call memory16 "," ff /2 "," 2-4 ",12,,,,,,,,,
"CALL","call memory(seg:offset) "," ff /3 ",2,22,,,,,,,,,
"CBW","cbw AL ",98,1,2,,,,,,,,,
"CLC","clc "," f8 ",1,1,0,,,,,,,,
"CLD","cld "," fc ",1,1,,,,,,,,0,
"CLI","cli "," fa ",1,1,,,,,,,0,,
