"Binary","Octal","Hex","Op","Args"
" 00000000 11100100 "," 000 344 "," 00 e4 "," ADD   "," AH,AH"
" 00000001 11011000 "," 001 330 "," 01 d8 "," ADD   "," AX,BX"
" 00000001 11011011 "," 001 333 "," 01 db "," ADD   "," BX,BX"
" 00001000 11100100 "," 010 344 "," 08 e4 "," OR    "," AH,AH"
" 00001001 11011000 "," 011 330 "," 09 d8 "," OR    "," AX,BX"
" 00001001 11011011 "," 011 333 "," 09 db "," OR    "," BX,BX"
" 00010000 11100100 "," 020 344 "," 10 e4 "," ADC   "," AH,AH"
" 00010001 11011000 "," 021 330 "," 11 d8 "," ADC   "," AX,BX"
" 00010001 11011011 "," 021 333 "," 11 db "," ADC   "," BX,BX"
" 00011000 11100100 "," 030 344 "," 18 e4 "," SBB   "," AH,AH"
" 00011001 11011011 "," 031 333 "," 19 db "," SBB   "," BX,BX"
" 00011100 00001000 "," 034 010 "," 1c 08 "," SBB   "," AL,08"
" 00011110 "," 036 "," 1e "," PUSH  "," DS"
" 00011111 "," 037 "," 1f "," POP   "," DS"
" 00100000 11100100 "," 040 344 "," 20 e4 "," AND   "," AH,AH"
" 00100001 11011000 "," 041 330 "," 21 d8 "," AND   "," AX,BX"
" 00100001 11011011 "," 041 333 "," 21 db "," AND   "," BX,BX"
" 00100111 "," 047 "," 27 "," DAA   "," "
" 00101000 11100100 "," 050 344 "," 28 e4 "," SUB   "," AH,AH"
" 00101001 11011011 "," 051 333 "," 29 db "," SUB   "," BX,BX"
" 00101100 00001000 "," 054 010 "," 2c 08 "," SUB   "," AL,08"
" 00101111 "," 057 "," 2f "," DAS   "," "
" 00110000 11000000 "," 060 300 "," 30 c0 "," XOR   "," AL,AL"
" 00110000 11001001 "," 060 311 "," 30 c9 "," XOR   "," CL,CL"
" 00110000 11010010 "," 060 322 "," 30 d2 "," XOR   "," DL,DL"
" 00110000 11011011 "," 060 333 "," 30 db "," XOR   "," BL,BL"
" 00110000 11100100 "," 060 344 "," 30 e4 "," XOR   "," AH,AH"
" 00110000 11101101 "," 060 355 "," 30 ed "," XOR   "," CH,CH"
" 00110000 11110110 "," 060 366 "," 30 f6 "," XOR   "," DH,DH"
" 00110000 11111111 "," 060 377 "," 30 ff "," XOR   "," BH,BH"
" 00110001 11011011 "," 061 333 "," 31 db "," XOR   "," BX,BX"
" 00110111 "," 067 "," 37 "," AAA   "," "
" 00111000 11000000 "," 070 300 "," 38 c0 "," CMP   "," AL,AL"
" 00111000 11001001 "," 070 311 "," 38 c9 "," CMP   "," CL,CL"
" 00111000 11010010 "," 070 322 "," 38 d2 "," CMP   "," DL,DL"
" 00111000 11011011 "," 070 333 "," 38 db "," CMP   "," BL,BL"
" 00111000 11100100 "," 070 344 "," 38 e4 "," CMP   "," AH,AH"
" 00111000 11101101 "," 070 355 "," 38 ed "," CMP   "," CH,CH"
" 00111000 11110110 "," 070 366 "," 38 f6 "," CMP   "," DH,DH"
" 00111000 11111111 "," 070 377 "," 38 ff "," CMP   "," BH,BH"
" 00111001 11011011 "," 071 333 "," 39 db "," CMP   "," BX,BX"
" 00111111 "," 077 "," 3f "," AAS   "," "
" 01000011 "," 103 "," 43 "," INC   "," BX"
" 01001000 "," 110 "," 48 "," DEC   "," AX"
" 01001001 "," 111 "," 49 "," DEC   "," CX"
" 01001010 "," 112 "," 4a "," DEC   "," DX"
" 01001011 "," 113 "," 4b "," DEC   "," BX"
" 01001100 "," 114 "," 4c "," DEC   "," SP"
" 01001101 "," 115 "," 4d "," DEC   "," BP"
" 01001110 "," 116 "," 4e "," DEC   "," SI"
" 01001111 "," 117 "," 4f "," DEC   "," DI"
" 01010000 "," 120 "," 50 "," PUSH  "," AX"
" 01010001 "," 121 "," 51 "," PUSH  "," CX"
" 01010010 "," 122 "," 52 "," PUSH  "," DX"
" 01010011 "," 123 "," 53 "," PUSH  "," BX"
" 01010100 "," 124 "," 54 "," PUSH  "," SP"
" 01010101 "," 125 "," 55 "," PUSH  "," BP"
" 01010110 "," 126 "," 56 "," PUSH  "," SI"
" 01010111 "," 127 "," 57 "," PUSH  "," DI"
" 01011000 "," 130 "," 58 "," POP   "," AX"
" 01011001 "," 131 "," 59 "," POP   "," CX"
" 01011010 "," 132 "," 5a "," POP   "," DX"
" 01011011 "," 133 "," 5b "," POP   "," BX"
" 01011100 "," 134 "," 5c "," POP   "," SP"
" 01011101 "," 135 "," 5d "," POP   "," BP"
" 01011110 "," 136 "," 5e "," POP   "," SI"
