"App","Input","Offset","Count","Hex","Op","Arg","Left"
"Gnu","0000","00000","02","0000","add","BYTE PTR [bx+si],al","00"
"Gnu","0100","00000","02","0100","add","WORD PTR [bx+si],ax","00"
"Gnu","0200","00000","02","0200","add","al,BYTE PTR [bx+si]","00"
"Gnu","0300","00000","02","0300","add","ax,WORD PTR [bx+si]","00"
"Gnu","0400","00000","02","0400","add","al,0x0","00"
"Gnu","0500","00000","01","05",".byte","0x5","01"
"Gnu","0600","00000","01","06","push","es","01"
"Gnu","0700","00000","01","07","pop","es","01"
"Gnu","0800","00000","02","0800","or","BYTE PTR [bx+si],al","00"
"Gnu","0900","00000","02","0900","or","WORD PTR [bx+si],ax","00"
"Gnu","0A00","00000","02","0A00","or","al,BYTE PTR [bx+si]","00"
"Gnu","0B00","00000","02","0B00","or","ax,WORD PTR [bx+si]","00"
"Gnu","0C00","00000","02","0C00","or","al,0x0","00"
"Gnu","0D00","00000","01","0D",".byte","0xd","01"
"Gnu","0E00","00000","01","0E","push","cs","01"
"Gnu","0F00","00000","01","0F",".byte","0xf","01"
"Gnu","1000","00000","02","1000","adc","BYTE PTR [bx+si],al","00"
"Gnu","1100","00000","02","1100","adc","WORD PTR [bx+si],ax","00"
"Gnu","1200","00000","02","1200","adc","al,BYTE PTR [bx+si]","00"
"Gnu","1300","00000","02","1300","adc","ax,WORD PTR [bx+si]","00"
"Gnu","1400","00000","02","1400","adc","al,0x0","00"
"Gnu","1500","00000","01","15",".byte","0x15","01"
"Gnu","1600","00000","01","16","push","ss","01"
"Gnu","1700","00000","01","17","pop","ss","01"
"Gnu","1800","00000","02","1800","sbb","BYTE PTR [bx+si],al","00"
"Gnu","1900","00000","02","1900","sbb","WORD PTR [bx+si],ax","00"
"Gnu","1A00","00000","02","1A00","sbb","al,BYTE PTR [bx+si]","00"
"Gnu","1B00","00000","02","1B00","sbb","ax,WORD PTR [bx+si]","00"
"Gnu","1C00","00000","02","1C00","sbb","al,0x0","00"
"Gnu","1D00","00000","01","1D",".byte","0x1d","01"
"Gnu","1E00","00000","01","1E","push","ds","01"
"Gnu","1F00","00000","01","1F","pop","ds","01"
"Gnu","2000","00000","02","2000","and","BYTE PTR [bx+si],al","00"
"Gnu","2100","00000","02","2100","and","WORD PTR [bx+si],ax","00"
"Gnu","2200","00000","02","2200","and","al,BYTE PTR [bx+si]","00"
"Gnu","2300","00000","02","2300","and","ax,WORD PTR [bx+si]","00"
"Gnu","2400","00000","02","2400","and","al,0x0","00"
"Gnu","2500","00000","01","25",".byte","0x25","01"
"Gnu","2600","00000","01","26","es","","01"
"Gnu","2700","00000","01","27","daa","","01"
"Gnu","2800","00000","02","2800","sub","BYTE PTR [bx+si],al","00"
"Gnu","2900","00000","02","2900","sub","WORD PTR [bx+si],ax","00"
"Gnu","2A00","00000","02","2A00","sub","al,BYTE PTR [bx+si]","00"
"Gnu","2B00","00000","02","2B00","sub","ax,WORD PTR [bx+si]","00"
"Gnu","2C00","00000","02","2C00","sub","al,0x0","00"
"Gnu","2D00","00000","01","2D",".byte","0x2d","01"
"Gnu","2E00","00000","01","2E","cs","","01"
"Gnu","2F00","00000","01","2F","das","","01"
