"App","Input","Offset","Count","Hex","Op","Arg","Left"
"Nasm","0000","00000","02","0000","add","[bx+si],al","00"
"Nasm","0100","00000","02","0100","add","[bx+si],ax","00"
"Nasm","0200","00000","02","0200","add","al,[bx+si]","00"
"Nasm","0300","00000","02","0300","add","ax,[bx+si]","00"
"Nasm","0400","00000","02","0400","add","al,0x0","00"
"Nasm","0500","00000","01","05","db","0x05","01"
"Nasm","0600","00000","01","06","push","es","01"
"Nasm","0700","00000","01","07","pop","es","01"
"Nasm","0800","00000","02","0800","or","[bx+si],al","00"
"Nasm","0900","00000","02","0900","or","[bx+si],ax","00"
"Nasm","0A00","00000","02","0A00","or","al,[bx+si]","00"
"Nasm","0B00","00000","02","0B00","or","ax,[bx+si]","00"
"Nasm","0C00","00000","02","0C00","or","al,0x0","00"
"Nasm","0D00","00000","01","0D","db","0x0d","01"
"Nasm","0E00","00000","01","0E","push","cs","01"
"Nasm","0F00","00000","01","0F","db","0x0f","01"
"Nasm","1000","00000","02","1000","adc","[bx+si],al","00"
"Nasm","1100","00000","02","1100","adc","[bx+si],ax","00"
"Nasm","1200","00000","02","1200","adc","al,[bx+si]","00"
"Nasm","1300","00000","02","1300","adc","ax,[bx+si]","00"
"Nasm","1400","00000","02","1400","adc","al,0x0","00"
"Nasm","1500","00000","01","15","db","0x15","01"
"Nasm","1600","00000","01","16","push","ss","01"
"Nasm","1700","00000","01","17","pop","ss","01"
"Nasm","1800","00000","02","1800","sbb","[bx+si],al","00"
"Nasm","1900","00000","02","1900","sbb","[bx+si],ax","00"
"Nasm","1A00","00000","02","1A00","sbb","al,[bx+si]","00"
"Nasm","1B00","00000","02","1B00","sbb","ax,[bx+si]","00"
"Nasm","1C00","00000","02","1C00","sbb","al,0x0","00"
"Nasm","1D00","00000","01","1D","db","0x1d","01"
"Nasm","1E00","00000","01","1E","push","ds","01"
"Nasm","1F00","00000","01","1F","pop","ds","01"
"Nasm","2000","00000","02","2000","and","[bx+si],al","00"
"Nasm","2100","00000","02","2100","and","[bx+si],ax","00"
"Nasm","2200","00000","02","2200","and","al,[bx+si]","00"
"Nasm","2300","00000","02","2300","and","ax,[bx+si]","00"
"Nasm","2400","00000","02","2400","and","al,0x0","00"
"Nasm","2500","00000","01","25","db","0x25","01"
"Nasm","2600","00000","01","26","es","","01"
"Nasm","2700","00000","01","27","daa","","01"
"Nasm","2800","00000","02","2800","sub","[bx+si],al","00"
"Nasm","2900","00000","02","2900","sub","[bx+si],ax","00"
"Nasm","2A00","00000","02","2A00","sub","al,[bx+si]","00"
"Nasm","2B00","00000","02","2B00","sub","ax,[bx+si]","00"
"Nasm","2C00","00000","02","2C00","sub","al,0x0","00"
"Nasm","2D00","00000","01","2D","db","0x2d","01"
"Nasm","2E00","00000","01","2E","cs","","01"
