"App","Input","Offset","Count","Hex","Op","Arg","Left"
"Win","0000","00000","02","0000","ADD","Byte Ptr [BX+SI],AL","00"
"Win","0100","00000","02","0100","ADD","Word Ptr [BX+SI],AX","00"
"Win","0200","00000","02","0200","ADD","AL,Byte Ptr [BX+SI]","00"
"Win","0300","00000","02","0300","ADD","AX,Word Ptr [BX+SI]","00"
"Win","0400","00000","02","0400","ADD","AL,00","00"
"Win","0500","00000","03","050011","ADD","AX,1100","-01"
"Win","0600","00000","01","06","PUSH","ES","01"
"Win","0700","00000","01","07","POP","ES","01"
"Win","0800","00000","02","0800","OR","Byte Ptr [BX+SI],AL","00"
"Win","0900","00000","02","0900","OR","Word Ptr [BX+SI],AX","00"
"Win","0A00","00000","02","0A00","OR","AL,Byte Ptr [BX+SI]","00"
"Win","0B00","00000","02","0B00","OR","AX,Word Ptr [BX+SI]","00"
"Win","0C00","00000","02","0C00","OR","AL,00","00"
"Win","0D00","00000","03","0D0011","OR","AX,1100","-01"
"Win","0E00","00000","01","0E","PUSH","CS","01"
"Win","0F00","00000","01","0F","???","","01"
"Win","1000","00000","02","1000","ADC","Byte Ptr [BX+SI],AL","00"
"Win","1100","00000","02","1100","ADC","Word Ptr [BX+SI],AX","00"
"Win","1200","00000","02","1200","ADC","AL,Byte Ptr [BX+SI]","00"
"Win","1300","00000","02","1300","ADC","AX,Word Ptr [BX+SI]","00"
"Win","1400","00000","02","1400","ADC","AL,00","00"
"Win","1500","00000","03","150011","ADC","AX,1100","-01"
"Win","1600","00000","01","16","PUSH","SS","01"
"Win","1700","00000","01","17","POP","SS","01"
"Win","1800","00000","02","1800","SBB","Byte Ptr [BX+SI],AL","00"
"Win","1900","00000","02","1900","SBB","Word Ptr [BX+SI],AX","00"
"Win","1A00","00000","02","1A00","SBB","AL,Byte Ptr [BX+SI]","00"
"Win","1B00","00000","02","1B00","SBB","AX,Word Ptr [BX+SI]","00"
"Win","1C00","00000","02","1C00","SBB","AL,00","00"
"Win","1D00","00000","03","1D0011","SBB","AX,1100","-01"
"Win","1E00","00000","01","1E","PUSH","DS","01"
"Win","1F00","00000","01","1F","POP","DS","01"
"Win","2000","00000","02","2000","AND","Byte Ptr [BX+SI],AL","00"
"Win","2100","00000","02","2100","AND","Word Ptr [BX+SI],AX","00"
"Win","2200","00000","02","2200","AND","AL,Byte Ptr [BX+SI]","00"
"Win","2300","00000","02","2300","AND","AX,Word Ptr [BX+SI]","00"
"Win","2400","00000","02","2400","AND","AL,00","00"
"Win","2500","00000","03","250011","AND","AX,1100","-01"
"Win","2600","00000","03","260011","ADD","Byte Ptr ES:[BX+DI],DL","-01"
"Win","2700","00000","01","27","DAA","","01"
"Win","2800","00000","02","2800","SUB","Byte Ptr [BX+SI],AL","00"
"Win","2900","00000","02","2900","SUB","Word Ptr [BX+SI],AX","00"
"Win","2A00","00000","02","2A00","SUB","AL,Byte Ptr [BX+SI]","00"
"Win","2B00","00000","02","2B00","SUB","AX,Word Ptr [BX+SI]","00"
"Win","2C00","00000","02","2C00","SUB","AL,00","00"
"Win","2D00","00000","03","2D0011","SUB","AX,1100","-01"
"Win","2E00","00000","03","2E0011","ADD","Byte Ptr CS:[BX+DI],DL","-01"
"Win","2F00","00000","01","2F","DAS","","01"
"Win","3000","00000","02","3000","XOR","Byte Ptr [BX+SI],AL","00"
"Win","3100","00000","02","3100","XOR","Word Ptr [BX+SI],AX","00"
"Win","3200","00000","02","3200","XOR","AL,Byte Ptr [BX+SI]","00"
"Win","3300","00000","02","3300","XOR","AX,Word Ptr [BX+SI]","00"
"Win","3400","00000","02","3400","XOR","AL,00","00"
"Win","3500","00000","03","350011","XOR","AX,1100","-01"
"Win","3600","00000","03","360011","ADD","Byte Ptr SS:[BX+DI],DL","-01"
"Win","3700","00000","01","37","AAA","","01"
"Win","3800","00000","02","3800","CMP","Byte Ptr [BX+SI],AL","00"
"Win","3900","00000","02","3900","CMP","Word Ptr [BX+SI],AX","00"
"Win","3A00","00000","02","3A00","CMP","AL,Byte Ptr [BX+SI]","00"
"Win","3B00","00000","02","3B00","CMP","AX,Word Ptr [BX+SI]","00"
"Win","3C00","00000","02","3C00","CMP","AL,00","00"
"Win","3D00","00000","03","3D0011","CMP","AX,1100","-01"
"Win","3E00","00000","03","3E0011","ADD","Byte Ptr DS:[BX+DI],DL","-01"
"Win","3F00","00000","01","3F","AAS","","01"
"Win","4000","00000","01","40","INC","AX","01"
"Win","4100","00000","01","41","INC","CX","01"
"Win","4200","00000","01","42","INC","DX","01"
"Win","4300","00000","01","43","INC","BX","01"
"Win","4400","00000","01","44","INC","SP","01"
"Win","4500","00000","01","45","INC","BP","01"
"Win","4600","00000","01","46","INC","SI","01"
"Win","4700","00000","01","47","INC","DI","01"
"Win","4800","00000","01","48","DEC","AX","01"
"Win","4900","00000","01","49","DEC","CX","01"
"Win","4A00","00000","01","4A","DEC","DX","01"
"Win","4B00","00000","01","4B","DEC","BX","01"
"Win","4C00","00000","01","4C","DEC","SP","01"
"Win","4D00","00000","01","4D","DEC","BP","01"
"Win","4E00","00000","01","4E","DEC","SI","01"
"Win","4F00","00000","01","4F","DEC","DI","01"
"Win","5000","00000","01","50","PUSH","AX","01"
"Win","5100","00000","01","51","PUSH","CX","01"
"Win","5200","00000","01","52","PUSH","DX","01"
"Win","5300","00000","01","53","PUSH","BX","01"
"Win","5400","00000","01","54","PUSH","SP","01"
"Win","5500","00000","01","55","PUSH","BP","01"
"Win","5600","00000","01","56","PUSH","SI","01"
"Win","5700","00000","01","57","PUSH","DI","01"
"Win","5800","00000","01","58","POP","AX","01"
"Win","5900","00000","01","59","POP","CX","01"
"Win","5A00","00000","01","5A","POP","DX","01"
"Win","5B00","00000","01","5B","POP","BX","01"
"Win","5C00","00000","01","5C","POP","SP","01"
"Win","5D00","00000","01","5D","POP","BP","01"
