"App","Input","Offset","Count","Hex","Op","Arg","Left"
"Iced","0000","00000","02","0000","add","[bx+si],al","00"
"Iced","0100","00000","02","0100","add","[bx+si],ax","00"
"Iced","0200","00000","02","0200","add","al,[bx+si]","00"
"Iced","0300","00000","02","0300","add","ax,[bx+si]","00"
"Iced","0400","00000","02","0400","add","al,0","00"
"Iced","0500","00000","02","0500","(bad)","","00"
"Iced","0600","00000","01","06","push","es","01"
"Iced","0700","00000","01","07","pop","es","01"
"Iced","0800","00000","02","0800","or","[bx+si],al","00"
"Iced","0900","00000","02","0900","or","[bx+si],ax","00"
"Iced","0A00","00000","02","0A00","or","al,[bx+si]","00"
"Iced","0B00","00000","02","0B00","or","ax,[bx+si]","00"
"Iced","0C00","00000","02","0C00","or","al,0","00"
"Iced","0D00","00000","02","0D00","(bad)","","00"
"Iced","0E00","00000","01","0E","push","cs","01"
"Iced","0F00","00000","02","0F00","(bad)","","00"
"Iced","1000","00000","02","1000","adc","[bx+si],al","00"
"Iced","1100","00000","02","1100","adc","[bx+si],ax","00"
"Iced","1200","00000","02","1200","adc","al,[bx+si]","00"
"Iced","1300","00000","02","1300","adc","ax,[bx+si]","00"
"Iced","1400","00000","02","1400","adc","al,0","00"
"Iced","1500","00000","02","1500","(bad)","","00"
"Iced","1600","00000","01","16","push","ss","01"
"Iced","1700","00000","01","17","pop","ss","01"
"Iced","1800","00000","02","1800","sbb","[bx+si],al","00"
"Iced","1900","00000","02","1900","sbb","[bx+si],ax","00"
"Iced","1A00","00000","02","1A00","sbb","al,[bx+si]","00"
"Iced","1B00","00000","02","1B00","sbb","ax,[bx+si]","00"
"Iced","1C00","00000","02","1C00","sbb","al,0","00"
"Iced","1D00","00000","02","1D00","(bad)","","00"
"Iced","1E00","00000","01","1E","push","ds","01"
"Iced","1F00","00000","01","1F","pop","ds","01"
"Iced","2000","00000","02","2000","and","[bx+si],al","00"
"Iced","2100","00000","02","2100","and","[bx+si],ax","00"
"Iced","2200","00000","02","2200","and","al,[bx+si]","00"
"Iced","2300","00000","02","2300","and","ax,[bx+si]","00"
"Iced","2400","00000","02","2400","and","al,0","00"
"Iced","2500","00000","02","2500","(bad)","","00"
"Iced","2600","00000","02","2600","(bad)","","00"
"Iced","2700","00000","01","27","daa","","01"
"Iced","2800","00000","02","2800","sub","[bx+si],al","00"
"Iced","2900","00000","02","2900","sub","[bx+si],ax","00"
"Iced","2A00","00000","02","2A00","sub","al,[bx+si]","00"
"Iced","2B00","00000","02","2B00","sub","ax,[bx+si]","00"
"Iced","2C00","00000","02","2C00","sub","al,0","00"
"Iced","2D00","00000","02","2D00","(bad)","","00"
"Iced","2E00","00000","02","2E00","(bad)","","00"
"Iced","2F00","00000","01","2F","das","","01"
"Iced","3000","00000","02","3000","xor","[bx+si],al","00"
"Iced","3100","00000","02","3100","xor","[bx+si],ax","00"
"Iced","3200","00000","02","3200","xor","al,[bx+si]","00"
"Iced","3300","00000","02","3300","xor","ax,[bx+si]","00"
"Iced","3400","00000","02","3400","xor","al,0","00"
"Iced","3500","00000","02","3500","(bad)","","00"
"Iced","3600","00000","02","3600","(bad)","","00"
"Iced","3700","00000","01","37","aaa","","01"
"Iced","3800","00000","02","3800","cmp","[bx+si],al","00"
"Iced","3900","00000","02","3900","cmp","[bx+si],ax","00"
"Iced","3A00","00000","02","3A00","cmp","al,[bx+si]","00"
"Iced","3B00","00000","02","3B00","cmp","ax,[bx+si]","00"
"Iced","3C00","00000","02","3C00","cmp","al,0","00"
"Iced","3D00","00000","02","3D00","(bad)","","00"
"Iced","3E00","00000","02","3E00","(bad)","","00"
"Iced","3F00","00000","01","3F","aas","","01"
"Iced","4000","00000","01","40","inc","ax","01"
"Iced","4100","00000","01","41","inc","cx","01"
"Iced","4200","00000","01","42","inc","dx","01"
"Iced","4300","00000","01","43","inc","bx","01"
"Iced","4400","00000","01","44","inc","sp","01"
"Iced","4500","00000","01","45","inc","bp","01"
"Iced","4600","00000","01","46","inc","si","01"
"Iced","4700","00000","01","47","inc","di","01"
"Iced","4800","00000","01","48","dec","ax","01"
"Iced","4900","00000","01","49","dec","cx","01"
"Iced","4A00","00000","01","4A","dec","dx","01"
"Iced","4B00","00000","01","4B","dec","bx","01"
"Iced","4C00","00000","01","4C","dec","sp","01"
"Iced","4D00","00000","01","4D","dec","bp","01"
"Iced","4E00","00000","01","4E","dec","si","01"
"Iced","4F00","00000","01","4F","dec","di","01"
"Iced","5000","00000","01","50","push","ax","01"
"Iced","5100","00000","01","51","push","cx","01"
"Iced","5200","00000","01","52","push","dx","01"
"Iced","5300","00000","01","53","push","bx","01"
"Iced","5400","00000","01","54","push","sp","01"
"Iced","5500","00000","01","55","push","bp","01"
"Iced","5600","00000","01","56","push","si","01"
"Iced","5700","00000","01","57","push","di","01"
"Iced","5800","00000","01","58","pop","ax","01"
"Iced","5900","00000","01","59","pop","cx","01"
"Iced","5A00","00000","01","5A","pop","dx","01"
"Iced","5B00","00000","01","5B","pop","bx","01"
"Iced","5C00","00000","01","5C","pop","sp","01"
"Iced","5D00","00000","01","5D","pop","bp","01"
"Iced","5E00","00000","01","5E","pop","si","01"
"Iced","5F00","00000","01","5F","pop","di","01"
"Iced","6000","00000","01","60","pusha","","01"
